Motif	Domain	Interaction Domain Description	Interaction Domain Name
3DID_Guanylate_kin_LIG_2-0	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_4-0	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_4-2	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_4-3	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_4-4	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_4-6	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_5-0	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_5-1	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_8-0	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_8-11	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_8-22	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_8-23	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_8-4	PF00625	Guanylate_kin	Guanylate_kin
3DID_Guanylate_kin_LIG_8-7	PF00625	Guanylate_kin	Guanylate_kin
3DID_HEAT_2_LIG_0-0	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_1-0	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_1-1	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_1-10	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_1-2	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_1-4	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_1-5	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_1-6	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_2-0	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_2-1	PF13646	HEAT_2	HEAT_2
3DID_HEAT_2_LIG_2-2	PF13646	HEAT_2	HEAT_2
3DID_HORMA_LIG_0-0	PF02301	HORMA	HORMA
3DID_HORMA_LIG_0-1	PF02301	HORMA	HORMA
3DID_HORMA_LIG_0-6	PF02301	HORMA	HORMA
3DID_HORMA_LIG_1-0	PF02301	HORMA	HORMA
3DID_HRM_LIG_1-0	PF02793	HRM	HRM
3DID_HRM_LIG_2-0	PF02793	HRM	HRM
3DID_HRM_LIG_2-3	PF02793	HRM	HRM
3DID_HRM_LIG_2-4	PF02793	HRM	HRM
3DID_HSP20_LIG_2-0	PF00011	HSP20	HSP20
3DID_HSP70_LIG_2-0	PF00012	HSP70	HSP70
3DID_HSP70_LIG_2-1	PF00012	HSP70	HSP70
3DID_HSP90_LIG_1-0	PF00183	HSP90	HSP90
3DID_HSP90_LIG_1-11	PF00183	HSP90	HSP90
3DID_HSP90_LIG_1-27	PF00183	HSP90	HSP90
3DID_HSP90_LIG_1-70	PF00183	HSP90	HSP90
3DID_Hist_deacetyl_LIG_4-0	PF00850	Hist_deacetyl	Hist_deacetyl
3DID_Hist_deacetyl_LIG_4-1	PF00850	Hist_deacetyl	Hist_deacetyl
3DID_Hist_deacetyl_LIG_4-2	PF00850	Hist_deacetyl	Hist_deacetyl
3DID_Histone_H2A_C_LIG_0-0	PF16211	Histone_H2A_C	Histone_H2A_C
3DID_Histone_H2A_C_LIG_0-1	PF16211	Histone_H2A_C	Histone_H2A_C
3DID_Histone_LIG_0-0	PF00125	Histone	Histone
