Gene,expression
C1orf52,0.043956693
BCL10,1.234625124
RP11-131L23.1,0.088929994
DDAH1,0.74376543
CYR61,0.31094006
ZNHIT6,0.199732249
ODF2L,0.177640232
CLCA1,0.857736021
CLCA4,16.49514069
RP4-612B15.3,0.017846128
SH3GLB1,2.474613722
Sep-15,0.754889805
HS2ST1,0.093444282
LMO4,0.857810787
PKN2,0.839065259
GTF2B,0.199003054
CCBL2,0.114367024
RBMXL1,0.081148394
GBP3,0.896822285
GBP1,0.274392251
GBP2,0.598717005
GBP4,0.137151635
LRRC8B,0.038278977
LRRC8D,0.231431238
ZNF326,0.863020429
ZNF644,0.464454813
EPHX4,0.014270443
KIAA1107,0.043180203
GLMN,0.083954385
RPAP2,0.240614662
EVI5,0.178196089
RPL5,9.620782869
FAM69A,0.068392968
MTF2,0.215665785
TMED5,0.269510877
DR1,0.460560204
FNBP1L,0.326442014
BCAR3,0.198946379
RP5-1033H22.2,0.009340487
DNTTIP2,0.459554678
GCLM,0.005565747
ABCD3,0.568549928
F3,0.02257398
LINC01057,0.041861001
SLC44A3,0.229295243
CNN3,0.378964424
RP4-639F20.1,0.083836351
ALG14,0.219161701
TMEM56,0.797365341
RWDD3,0.005987909
PTBP2,0.006530553
DPYD,0.033390319
SNX7,0.697671302
FRRS1,0.077639752
AGL,0.150301294
SLC35A3,1.010739861
HIAT1,0.251641201
TRMT13,0.063538095
DBT,0.290621587
RTCA,0.259058804
CDC14A,0.468195888
EXTL2,0.035865924
SLC30A7,0.108492053
DPH5,0.031658291
RP11-421L21.3,0.008469523
RNPC3,0.143024305
PRMT6,0.14418748
VAV3,0.599856328
SLC25A24,0.971205098
FAM102B,0.026990845
HENMT1,0.017430395
PRPF38B,0.627770899
STXBP3,0.532161317
GPSM2,0.063009175
CLCC1,0.120202645
TAF13,0.447457891
TMEM167B,0.111642856
KIAA1324,0.069590284
SARS,0.674223512
SORT1,0.412665811
PSMA5,1.42297185
GNAI3,0.677209594
AMPD2,0.298682767
GSTM4,0.249915216
GSTM3,0.03948508
EPS8L3,1.532504226
AHCYL1,0.677533361
STRIP1,0.011442485
RBM15,0.073560118
RP5-1074L1.4,0.039381092
LAMTOR5-AS1,0.005565747
LAMTOR5,2.531819146
LRIF1,0.333020221
DRAM2,0.457286698
CEPT1,0.217067063
DENND2D,0.248246792
WDR77,0.074915171
ATP5F1,2.207441905
C1orf162,0.013848281
RAP1A,0.69498374
DDX20,0.016939047
KCND3,0.024898414
RP11-88H9.2,0.008282534
CTTNBP2NL,0.604247393
ST7L,0.063169687
CAPZA1,1.881422234
MOV10,0.424051012
RHOC,6.927577524
PPM1J,0.022714345
SLC16A1,0.375406383
MAGI3,0.641210706
PHTF1,0.041644456
RSBN1,0.639301496
PTPN22,0.019139489
BCL2L15,0.485738585
AP4B1,0.042505536
HIPK1,0.270821963
TRIM33,0.220895257
BCAS2,0.099976667
NRAS,0.28075177
CSDE1,2.370838026
SIKE1,0.211802686
TSPAN2,0.093689102
VANGL1,0.206895525
ATP1A1,1.640524927
CD58,0.562799939
IGSF3,0.108107331
CD2,0.008282534
PTGFRN,0.055685663
MAN1A2,0.524777537
FAM46C,0.680568426
GDAP2,0.233467457
WDR3,0.06043539
WARS2,0.086797963
HSD3B1,0.070974336
PHGDH,0.0120963
HMGCS2,2.176085848
REG4,0.166899271
NOTCH2,1.330386022
RP11-423O2.5,0.020856275
RP11-782C8.1,0.006530553
RP11-782C8.3,0.019139489
RP11-435B5.4,0.020241604
RP11-640M9.1,0.191721122
NBPF9,0.167827662
PDE4DIP,0.088991468
NOTCH2NL,1.060653127
NBPF10,1.937612391
TXNIP,7.63402635
POLR3GL,0.150599753
RP11-315I20.1,0.056833682
RBM8A,1.758775714
PEX11B,0.343300979
POLR3C,0.163842966
RNF115,0.140684656
PRKAB2,0.187244562
RP11-337C18.8,0.326209244
FMO5,0.501661077
CHD1L,0.124786478
BCL9,0.247719326
ACP6,0.224335966
NBPF14,0.093311442
RP11-14N7.2,0.146807695
RP11-277L2.4,0.005565747
RP11-277L2.3,0.057977737
RP11-196G18.23,0.064142036
HIST2H2AA3,0.230808609
HIST2H2BE,0.229567099
HIST2H2AC,0.092161173
BOLA1,0.044687545
SF3B4,0.197436189
MTMR11,0.650046422
OTUD7B,0.247287176
VPS45,0.190028652
ANP32E,0.177625539
APH1A,0.490162825
MRPS21,0.797304153
PRPF3,0.16106721
TARS2,0.038710788
ADAMTSL4,0.005987909
MCL1,1.66955303
ENSA,1.209941777
GOLPH3L,0.338066102
CTSS,3.733994297
ARNT,0.307634115
SETDB1,0.015967158
CERS2,0.440556685
FAM63A,0.123459546
PRUNE,0.041405346
C1orf56,0.195226898
CDC42SE1,0.651822064
MLLT11,0.019139489
GABPB2,0.040702417
SCNM1,0.407830381
VPS72,0.157754198
PIP5K1A,0.15881418
PSMD4,1.362393094
ZNF687,0.084968581
PI4KB,0.093951947
SELENBP1,3.985282239
PSMB4,1.302858122
POGZ,0.238990418
CGN,0.84875167
TUFT1,0.182811589
SNX27,0.134490184
MRPL9,0.367082059
OAZ3,0.039177584
THEM4,0.107731617
S100A10,49.88736247
S100A11,7.585880877
S100A9,0.022130815
S100A6,113.6419144
S100A4,0.180062307
S100A16,3.507953913
S100A14,6.647001317
S100A13,1.089585259
CHTOP,0.257378107
SNAPIN,0.364316188
ILF2,0.355954799
INTS3,0.0747621
SLC27A3,0.209176462
GATAD2B,0.199682499
DENND4B,0.068506308
CRTC2,0.463732648
SLC39A1,0.34278718
JTB,1.999868038
RAB13,0.700991597
RPS27,21.05547639
TPM3,6.169352112
C1orf43,0.766850677
UBAP2L,0.02683729
HAX1,0.544070866
IL6R,0.006530553
UBE2Q1,0.416095253
ADAR,0.278291301
PMVK,0.647209511
PBXIP1,0.207884061
PYGO2,0.04045558
SHC1,0.266156053
CKS1B,0.281663828
FLAD1,0.068076021
ZBTB7B,0.868359178
ADAM15,0.480165536
EFNA4,0.334358148
EFNA1,1.313427172
SLC50A1,0.775143655
DPM3,0.63718676
KRTCAP2,0.566782784
MUC1,2.129842534
MTX1,0.267136146
GBA,0.340288725
FAM189B,0.005987909
SCAMP3,0.08615189
CLK2,0.18162243
HCN3,0.008469523
FDPS,1.292661633
RUSC1,0.404111328
ASH1L,0.831429759
MSTO1,0.005987909
YY1AP1,0.342307306
DAP3,0.267272595
GON4L,0.326048755
RIT1,0.433503964
KIAA0907,0.476998108
ARHGEF2,0.497920758
SSR2,1.425178101
LAMTOR2,1.978431035
RAB25,1.661778616
LMNA,1.783208904
SEMA4A,0.05583847
SLC25A44,0.13680223
PMF1,0.427823275
SMG5,0.298652582
C1orf85,0.190642059
CCT3,1.439185095
MEF2D,0.28389795
IQGAP3,0.098008468
APOA1BP,0.654207992
GPATCH4,0.087381354
RP11-284F21.10,0.071605738
RP11-284F21.7,0.019045588
NES,0.083836351
ISG20L2,0.590902547
MRPL24,0.809312332
HDGF,1.094421255
PRCC,0.225988898
ETV3,0.113884849
FCRL5,0.037736988
IFI16,0.019912009
DUSP23,0.797511905
TAGLN2,2.324491425
IGSF9,0.282795229
LINC01133,2.007802642
PIGM,0.133959138
IGSF8,0.250761356
DCAF8,0.144376539
PEX19,0.143168874
COPA,0.33257103
NCSTN,0.384736869
VANGL2,0.020241604
CD84,0.019139489
ITLN1,0.769023175
F11R,0.880453946
TSTD1,2.216663194
USF1,0.058577321
PVRL4,0.067026193
KLHDC9,0.029359705
PFDN2,0.644228233
NIT1,0.456621892
DEDD,0.11723864
UFC1,2.094507794
B4GALT3,0.12395885
NDUFS2,1.76025465
FCER1G,0.016565068
TOMM40L,0.163359166
SDHC,0.861794114
RP11-122G18.5,0.009563594
DUSP12,0.042733563
ATF6,0.209398443
UHMK1,1.019583553
UAP1,0.529075208
HSD17B7,0.157926553
NUF2,0.009563594
PBX1,0.90134934
MGST3,8.446232043
ALDH9A1,0.337879788
TMCO1,1.131100754
UCK2,0.130732365
POGK,0.008282534
TADA1,0.020019218
GPA33,4.190147133
RP11-277B15.3,0.010401411
POU2F1,0.085446927
CREG1,0.208421202
MPZL1,0.271044056
MPC2,2.035905649
DCAF6,0.293902823
TIPRL,0.647511134
SFT2D2,0.418925723
TBX19,0.155009921
ATP1B1,7.536910293
NME7,0.202040619
BLZF1,0.267390675
C1orf112,0.005565747
SCYL3,0.10453902
KIFAP3,0.022884971
GORAB,0.066009272
FMO4,0.045185078
PRRC2C,1.468235187
VAMP4,0.16627568
METTL13,0.062121059
PIGC,0.057392083
SUCO,0.426118284
RP11-296O14.3,0.080539047
PRDX6,6.206903254
KLHL20,0.005987909
RC3H1,0.546510301
RABGAP1L,0.527654367
CACYBP,0.503883772
MRPS14,0.276089579
KIAA0040,0.005565747
RFWD2,0.268424523
