Gene,avg_log2FC
SOX8,5.28840173823563
TPSAB1,5.20233920930009
SYNGR3,5.28840173823563
SLC9A3R2,5.20233920930009
RAB26,5.28840173823563
RP11-473M20.14,4.9544869657266
ZNF597,4.9959066552575
NAA60-ENSG00000122390,5.20233920930009
TMC7,5.20233920930009
CCP110,4.9544869657266
SULT1A4,4.9959066552575
FAM57B,6.05592984383174
RP11-146F11.1,5.4233257851055
TOX3,4.9959066552575
TK2,6.35630137393588
RP11-61A14.1,5.20233920930009
RP11-61A14.3,6.35630137393588
KIAA0895L,5.28840173823563
DHODH,4.9959066552575
AC009120.6,4.9544869657266
TAF1C,5.20233920930009
SLC7A5,4.9959066552575
CBFA2T3,4.9544869657266
FAM57A,6.35630137393588
HIC1,4.9544869657266
SRR,5.20233920930009
GSG2,6.05592984383174
PLD2,5.20233920930009
DHX33,4.9959066552575
SPAG5,4.9544869657266
RP11-192H23.6,8.96289455248606
DHRS13,4.9959066552575
PHF12,5.28840173823563
LRRC37B,5.28840173823563
CCL2,5.20233920930009
RAD51D,6.35630137393588
NLE1,4.9959066552575
CCL18,4.9959066552575
CDK12,4.9959066552575
DHX58,5.82693370030659
BRCA1,5.20233920930009
SP6,4.9544869657266
PPP1R9B,6.67292456640391
RP11-166P13.4,5.28840173823563
PRR11,4.9544869657266
TANC2,5.20233920930009
CD79B,4.9544869657266
ARSG,5.28840173823563
RP1-193H18.2,4.9544869657266
KCNJ2,4.9544869657266
UBE2O,4.9959066552575
RHBDF2,4.9544869657266
C1QTNF1,5.28840173823563
AATK,5.28840173823563
LPIN2,5.28840173823563
DLGAP1-AS2,5.20233920930009
SPIRE1,6.67292456640391
FAM210A,5.20233920930009
ESCO1,5.20233920930009
ASXL3,5.28840173823563
PSTPIP2,4.9959066552575
TCF4,5.20233920930009
ONECUT2,5.20233920930009
RP11-35G9.3,5.28840173823563
ATP9B,5.20233920930009
TGM3,5.20233920930009
PRNP,5.48280540096519
PLCB1,5.20233920930009
