Gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
LINC00543;0.00366146183032981;0.913821496475889;0.2;0.026;1
NPTN;0.00366146183032981;2.77235529267137;0.2;0.026;1
AC009133.14;0.00366146183032981;2.58242200620751;0.2;0.026;1
FKBP3;0.0036762279394991;1.4557393396032;0.4;0.089;1
LIPH;0.00368329749300912;-0.365339483947346;0.3;0.052;1
CHID1;0.00368329749300912;0.159323312264698;0.3;0.052;1
EXOSC8;0.00368329749300912;0.527563999631663;0.3;0.052;1
BFAR;0.00368329749300912;0.106354188953032;0.3;0.052;1
MRPL45;0.00368329749300912;0.514554532423057;0.3;0.052;1
LINC00657;0.00368329749300912;0.518292851510716;0.3;0.052;1
MAD2L2;0.00369154475669909;2.9193135415383;0.1;0.005;1
MIIP;0.00369154475669909;3.3558178702706;0.1;0.005;1
EMC1;0.00369154475669909;3.42506732949778;0.1;0.005;1
ZBTB40;0.00369154475669909;2.47276174057302;0.1;0.005;1
C1QA;0.00369154475669909;1.80501780503703;0.1;0.005;1
SEPN1;0.00369154475669909;2.34261607973292;0.1;0.005;1
EYA3;0.00369154475669909;4.16161905994231;0.1;0.005;1
AGO4;0.00369154475669909;2.95742886725444;0.1;0.005;1
SH3D21;0.00369154475669909;4.14612047913967;0.1;0.005;1
C1orf109;0.00369154475669909;3.78757995506488;0.1;0.005;1
MYCL;0.00369154475669909;3.86557091264884;0.1;0.005;1
RLF;0.00369154475669909;2.64079010152061;0.1;0.005;1
COL9A2;0.00369154475669909;3.40263926830716;0.1;0.005;1
FOXJ3;0.00369154475669909;4.07240144800108;0.1;0.005;1
DPH2;0.00369154475669909;4.04811869803047;0.1;0.005;1
RP4-758J24.5;0.00369154475669909;3.55929673514506;0.1;0.005;1
ZZZ3;0.00369154475669909;3.09707459712347;0.1;0.005;1
SSX2IP;0.00369154475669909;3.29038144740799;0.1;0.005;1
HS2ST1;0.00369154475669909;2.5762959645005;0.1;0.005;1
RBMXL1;0.00369154475669909;2.08864089515828;0.1;0.005;1
F3;0.00369154475669909;2.35072285628324;0.1;0.005;1
HENMT1;0.00369154475669909;0.996582738985558;0.1;0.005;1
PPM1J;0.00369154475669909;3.02170211157048;0.1;0.005;1
SNX27;0.00369154475669909;2.52631215427071;0.1;0.005;1
ISG20L2;0.00369154475669909;2.35230848528611;0.1;0.005;1
POU2F1;0.00369154475669909;1.41813781830578;0.1;0.005;1
NME7;0.00369154475669909;1.81774501390307;0.1;0.005;1
RAB7L1;0.00369154475669909;3.8391821699238;0.1;0.005;1
RP11-443B7.1;0.00369154475669909;0.872861147885129;0.1;0.005;1
AHCTF1;0.00369154475669909;1.77632532437216;0.1;0.005;1
NOL10;0.00369154475669909;3.02578775338887;0.1;0.005;1
E2F6;0.00369154475669909;3.99228633957881;0.1;0.005;1
TRIB2;0.00369154475669909;1.38529178086376;0.1;0.005;1
C2orf43;0.00369154475669909;3.58960781671169;0.1;0.005;1
ATAD2B;0.00369154475669909;1.49896116867815;0.1;0.005;1
KHK;0.00369154475669909;2.10304018189823;0.1;0.005;1
CAD;0.00369154475669909;4.08518364880686;0.1;0.005;1
PAPOLG;0.00369154475669909;4.08880561620308;0.1;0.005;1
PNO1;0.00369154475669909;3.31439818073969;0.1;0.005;1
AAK1;0.00369154475669909;2.84188878060704;0.1;0.005;1
FAHD2B;0.00369154475669909;3.05184390039383;0.1;0.005;1
CCDC74A;0.00369154475669909;4.01444200072029;0.1;0.005;1
SPOPL;0.00369154475669909;4.04738592667217;0.1;0.005;1
GTDC1;0.00369154475669909;2.74352322740386;0.1;0.005;1
SLC25A12;0.00369154475669909;2.08945359037115;0.1;0.005;1
AC093818.1;0.00369154475669909;3.4291792091511;0.1;0.005;1
RP11-796E10.1;0.00369154475669909;2.9193135415383;0.1;0.005;1
RBM45;0.00369154475669909;3.17083950401136;0.1;0.005;1
ITGAV;0.00369154475669909;3.01030640914857;0.1;0.005;1
C2orf69;0.00369154475669909;0.667934123629066;0.1;0.005;1
TMEM237;0.00369154475669909;2.36349564285602;0.1;0.005;1
DIS3L2;0.00369154475669909;1.6866349940616;0.1;0.005;1
TIGD1;0.00369154475669909;3.361983219233;0.1;0.005;1
USP40;0.00369154475669909;3.83082203861191;0.1;0.005;1
PER2;0.00369154475669909;1.93548845562789;0.1;0.005;1
TRAF3IP1;0.00369154475669909;2.75412869284613;0.1;0.005;1
IQSEC1;0.00369154475669909;2.50259459684639;0.1;0.005;1
NUP210;0.00369154475669909;2.97332360773945;0.1;0.005;1
METTL6;0.00369154475669909;1.76594628611694;0.1;0.005;1
OSBPL10;0.00369154475669909;3.80026645445697;0.1;0.005;1
EXOG;0.00369154475669909;3.88032454665051;0.1;0.005;1
KRBOX1-ENSG00000240747;0.00369154475669909;3.40611908301237;0.1;0.005;1
ALS2CL;0.00369154475669909;3.19880352879881;0.1;0.005;1
HYAL1;0.00369154475669909;0.963248162143772;0.1;0.005;1
TMEM110;0.00369154475669909;2.18359401340393;0.1;0.005;1
LINC00960;0.00369154475669909;2.12927908809027;0.1;0.005;1
KIAA1524;0.00369154475669909;3.03296874947905;0.1;0.005;1
LRRC58;0.00369154475669909;2.05847092039292;0.1;0.005;1
ARMC8;0.00369154475669909;2.03742190817444;0.1;0.005;1
ACPL2;0.00369154475669909;2.58406795114991;0.1;0.005;1
RP11-141C7.4;0.00369154475669909;3.05184390039383;0.1;0.005;1
FBXO45;0.00369154475669909;3.39744612722761;0.1;0.005;1
LRCH3;0.00369154475669909;2.82446632836486;0.1;0.005;1
LMLN;0.00369154475669909;2.85441909289604;0.1;0.005;1
HS3ST1;0.00369154475669909;4.04738592667217;0.1;0.005;1
PI4K2B;0.00369154475669909;2.68685000056507;0.1;0.005;1
STIM2;0.00369154475669909;2.79756340569359;0.1;0.005;1
LIMCH1;0.00369154475669909;2.49414012811991;0.1;0.005;1
USP46;0.00369154475669909;3.57112738066741;0.1;0.005;1
COX18;0.00369154475669909;1.88376714389062;0.1;0.005;1
PPM1K;0.00369154475669909;4.12985630493123;0.1;0.005;1
TRMT10A;0.00369154475669909;3.17083950401136;0.1;0.005;1
C4orf32;0.00369154475669909;2.66235849343604;0.1;0.005;1
CCNA2;0.00369154475669909;1.64521530453069;0.1;0.005;1
PLK4;0.00369154475669909;1.23472035666484;0.1;0.005;1
PET112;0.00369154475669909;2.83567429281149;0.1;0.005;1
FBXW7;0.00369154475669909;3.56659337925947;0.1;0.005;1
KLHL2;0.00369154475669909;2.56773184380162;0.1;0.005;1
DDX60L;0.00369154475669909;3.19904522385123;0.1;0.005;1
C5orf17;0.00369154475669909;1.52857993278203;0.1;0.005;1
ITGA1;0.00369154475669909;3.31439818073969;0.1;0.005;1
ITGA2;0.00369154475669909;2.86201797886277;0.1;0.005;1
SMN2;0.00369154475669909;2.47608909638206;0.1;0.005;1
ARRDC3;0.00369154475669909;3.29186736096772;0.1;0.005;1
LINC01023;0.00369154475669909;3.01474329727036;0.1;0.005;1
TCF7;0.00369154475669909;3.85985135261107;0.1;0.005;1
SEC24A;0.00369154475669909;2.54820194045672;0.1;0.005;1
SMAD5;0.00369154475669909;3.63247230307701;0.1;0.005;1
SLC6A7;0.00369154475669909;2.68464966479317;0.1;0.005;1
PWWP2A;0.00369154475669909;3.42064867503671;0.1;0.005;1
HMMR;0.00369154475669909;3.19995471342109;0.1;0.005;1
UIMC1;0.00369154475669909;2.61579398835983;0.1;0.005;1
ZNF354A;0.00369154475669909;2.3811359781364;0.1;0.005;1
ZKSCAN3;0.00369154475669909;3.32725812381912;0.1;0.005;1
C2;0.00369154475669909;2.34888122441222;0.1;0.005;1
DXO;0.00369154475669909;2.77416439784421;0.1;0.005;1
KIFC1;0.00369154475669909;2.94063524183969;0.1;0.005;1
PPIL1;0.00369154475669909;3.3558178702706;0.1;0.005;1
RP11-98I9.4;0.00369154475669909;3.3558178702706;0.1;0.005;1
RP3-467N11.1;0.00369154475669909;3.75842595711332;0.1;0.005;1
RP5-1112D6.4;0.00369154475669909;3.52340389924011;0.1;0.005;1
FAM26F;0.00369154475669909;0.760139545040102;0.1;0.005;1
HSF2;0.00369154475669909;2.15284027477236;0.1;0.005;1
SLC18B1;0.00369154475669909;3.60034574455037;0.1;0.005;1
FAM120B;0.00369154475669909;1.00096528478427;0.1;0.005;1
